tech-startup,"Google is reportedly working on a new artificial intelligence (AI) tool, codenamed 'Project Jarvis,' designed to automate online tasks. Indonesia has officially banned the sale and use of Apple’s iPhone 16 and other recent releases, including the Apple Watch Series 10, after the tech giant failed to fulfil its previously agreed investment commitments in the country. Waymo, the self-driving car company owned by Google's parent Alphabet, has recently raised $5.6 billion in its latest funding round. The round included major investors such as Andreessen Horowitz, Fidelity, Perry Creek, Silver Lake, Tiger Global, and T. Rowe Price. Runway, a US-based AI research company specialising in creative software, has launched Act-One, a tool for generating character animations based on simple video and voice inputs. Meta Platforms has formed a new partnership with international news platform Reuters, enabling its AI chatbot to utilise Reuters' content for real-time responses to user questions about news and current events. To encourage security experts to test the platform's privacy and security protections, Apple will now pay researchers who uncover serious vulnerabilities in Private Cloud Compute (PCC), the system which supports Apple Intelligence in handling complex tasks, up to $1 million. Google is reportedly set to release Gemini 2.0 in December 2024, marking a year since the launch of its first Gemini model.  Iceland has emerged as a pioneer in work-life balance and economic innovation, outshining most of its European peers thanks to a bold experiment in reducing working hours to four days a week, without cutting pay. A wave of recent social media posts has raised concerns over alleged unauthorised withdrawals impacting customers of Eastern Bank PLC and BRAC Bank PLC. Canva has recently launched Dream Lab, an AI-driven image generation tool that provides users with advanced image generation options directly on the Canva platform on both the web and mobile versions. Elon Musk allegedly worked in the United States without legal permission during the early stages of his career, according to an investigation by The Washington Post. Here are five lesser-known TikTok features that may surprise even regular users. Ifad Autos Ltd. has begun exporting buses from Bangladesh for the first time, with an initial shipment of 11 air-conditioned buses sent to Bhutan. Apple is set to integrate ChatGPT into its voice assistant, Siri, with the upcoming iOS 18.2 update.  Nvidia Corp, the semiconductor giant known for its AI processors, has surpassed Apple Inc. to become the world’s most valuable company. India is creating a $119 million venture capital fund aimed at advancing its space sector, Prime Minister Narendra Modi announced on Thursday. Microsoft CEO Satya Nadella's annual compensation rose significantly to $79.1 million for fiscal year 2024, marking a 63% increase from the previous year.  Perplexity AI, the artificial intelligence company backed by Jeff Bezos, has entered fundraising talks to more than double its valuation to over $8 billion, according to a report by The Wall Street Journal.  The European Union announced a new partnership with leading venture capital firms on Monday, aiming to accelerate investment in tech innovation across Europe. T Jatri, a Bangladeshi multi-modal travel platform, is entering the Gulf Cooperation Council (GCC) market, beginning with Saudi Arabia and the UAE, through the launch of 'Saafir.' Toyota has made a $500 million investment in Joby Aviation, a California-based startup focused on developing electric air taxis, according to a recent blog post by Toyota. An artificial intelligence researcher, Fei-Fei Li also nicknamed as the “Godmother of AI” has raised USD 230 million for AI startup “World Labs” along with her three colleagues to develop AI technology that can comprehend how the three-dimensional physical world works, the company announced on Friday. Story Engine Inc., an AI startup co-founded by Bangladeshi Stanford graduate Sheikh Srijon, has received $750,000 in pre-seed funding from the reputed venture capital firm Andreessen Horowitz (A16Z). The startup, founded by Sheikh Srijon, Zhizhuo Zhou, and Wanrong He, aims to revolutionise the realm of webtoon and anime creation through generative AI technology. Optimizely earns 'Great Place To Work' certification, celebrates culture of innovation and employee well-being OpenAI is set to release its next-generation artificial intelligence model, codenamed Orion, by December 2023, according to The Verge. The release is expected to mark approximately two years since the launch of ChatGPT, OpenAI’s widely popular AI chatbot. Social media use in Bangladesh grew by 22.3% in 2024, with Facebook leading the market, reaching 52.90 million users.
 
 
 
  Social media’s power to unite in times of crisis is undeniable, but Facebook’s influence has also fuelled division, misinformation, and apathy. As reaction-driven memes and unchecked falsehoods shape public opinion, we risk losing our ability to think independently. TikTok's latest report for Q2 2024 reveals that over 12 million videos were removed in Bangladesh due to content policy violations. Meta, the parent company of Facebook and Instagram, is facing lawsuits brought by US states accusing it of harming teens' mental health by making its platforms addictive.  TikTok is facing new legal challenges as 13 US states and Washington DC filed lawsuits accusing the platform of harming young users through addictive software and inadequate safety measures.  Apple Intelligence, the tech giant’s next big innovation for iPhones, iPads, and Macs, is almost here—and it’s expected to change how we interact with these devices. But when exactly will it arrive?  Infinix has unveiled its latest smartphone, the Infinix HOT 50 Pro, in Bangladesh. The phone comes with a MediaTek Helio G100 processor, a 7.4 mm premium-slim design, a 6.78-inch AMOLED display, and a 120 Hz refresh rate. The Ray-Ban Meta smart glasses have become the top-selling product in 60% of Ray-Ban stores across Europe, the Middle East, and Africa (EMEA). A recent report from tech journalist Mark Gurman highlights Apple's lag in the artificial intelligence (AI) space, confirming suspicions that the company is trailing its competitors by at least two years.  Apple has announced that it will release iOS 18.1 next week, bringing a range of advanced hearing health features to the AirPods Pro 2.  The internet is buzzing with rumours of a Tesla phone, dubbed the Model Pi or P. But is there any truth to this speculation?
 
  Apple has announced the release of its latest iPad mini, featuring an 8.3-inch liquid retina display, the powerful A17 Pro chip, and new capabilities powered by the soon-to-come Apple Intelligence. With a little creativity and the right tools, you can repurpose your old computer for a variety of useful tasks. Here’s how to give your old PC or laptop a second life. Finding images with transparent backgrounds is an essential task for designers, marketers, and web developers, but it can sometimes lead to confusion, especially when dealing with misleading or fake images. With water levels rising at an alarming rate, it is important to stay aware and cautious. Here are two ways users can track the flood. We live in a world where our digital privacy and online security are at a constant risk. A VPN app is a valuable tool to protect your data and maintain your anonymity, adding some much-needed layers to your online protection. Are you the sort of person whose hands immediately reach for the phone at the slightest hint of boredom? Do you feel bored when having to eat a meal without watching YouTube? Congratulations, you are gradually riding the slippery slope that is internet addiction. Eid-ul-Adha is approaching, and many of us have already planned to celebrate this occasion with our loved ones. As a result, many car owners will travel outside the major cities to be with family and relatives. To ensure a safe journey, it's crucial to check that your car is in good condition. Sadly, we often hear about accidents during the Eid period. To ensure safety and a smooth trip, car owners should check the following: With Eid-ul-Adha approaching, the Muslim community in the country is eagerly preparing to purchase animals for sacrifice or Qurbani. Here are some reliable online platforms where you can buy sacrifical animals. After months of speculation, Apple officially introduced its Apple Intelligence platform during the Worldwide Developers Conference (WWDC) 2024 in June. Apple has officially unveiled the iPhone 16, the latest version of its flagship smartphone. Competing against 451 teams from 77 countries, the Bangladeshi robotics team ""Robonium Bangladesh"" clinched the 5th position in the World Robot Olympiad 2023 in the ""Future Innovators (Senior)"" category, held in Panama The essentials from tonight's Apple Event
  Game development in Asia has largely been taking place in East Asia since the creation of video games. Is this about to change ? We talked to Mehnaz Irtika from The Daily Star, who told us about the challenges Bangladesh's game industry faces if it wants to compete with the big dogs. 
  We explore the use of Augmented Reality in education. With us to discuss how deployment of AR could affect Bangladesh's education and consumer sector is Md. Ridwan Sakib Anjum, an in-house contributor for the Tech and Startup section of The Daily Star.
  Whether it's putting a photo of a drivers license #online, or going to a sketchy #website, we can all make mistake that compromise our #identity. It's even more unfair when even when we've done everything right, our #data are being #stolen. We talked with Zarif Faiaz from ANN's The Daily Star to tell us about how this is happening in Bangladesh, and how we may minimise the impact. Apple has officially announced its annual event, scheduled for 12 September at Apple Park. The invitation, titled ""Wonderlust,"" indicates that the company plans to unveil its iPhone 15 series, among other products. Here are our picks for jobs of the week. Check out the article for more details. Tesla has reiterated its commitment to launching a more affordable electric vehicle (EV) in early 2025. A lawsuit has been filed against Character.AI, its founders Noam Shazeer and Daniel De Freitas, and Google, following the death of 14-year-old Sewell Setzer III.  Apple has released the first developer beta of iOS 18.2, adding a range of new AI-powered features and deeper integration with ChatGPT.  Bangladeshi drivers Kashfia Arfa, Arhaam Rahman, and Fahad Gaffor made history at the 2024 Malaysian Festival of Speed. A major data breach ahead of the Magical Night 2.0 concert in Dhaka has exposed the personal details of more than 5000 ticket holders.  Amazon’s highly anticipated live-action adaptation of God of War is gaining momentum after a series of recent developments. A Boeing-built communications satellite, Intelsat 33e, has broken apart while in orbit. Apple is taking a cautious approach towards the use of artificial intelligence (AI) in photo editing. The US-China technology conflict is poised to escalate, regardless of whether Donald Trump or Vice President Kamala Harris wins the upcoming US presidential election on November 5. "
bangladesh,"The Opportunity Economy (OE) is not only an inclusive economic system, but a new paradigm. It is considered to be an alternative economic model making economic opportunities available to all citizens of a nation. Its definition consists of concepts such as inclusion in growth, which includes segments of the population who are excluded from economic growth, thereby increasing diversity by creating opportunities available to all to utilise their potential. Many countries, affluent or impoverished, use the Opportunity Economy in a flexible way to meet their national economic and political goals. The goal is to benefit the underprivileged people in society as they do not have meaningful access to resources and education. People, culture, and collaboration create the Opportunity Economy ecosystem that enables success in achieving the desired goals of the economy. Furthermore, the Opportunity Economy requires a holistic approach. It addresses the issue of communities and individuals who are left behind owing to the political and economic systems of the country. This could be in terms of them not having adequate or proper access to education, skills training and job opportunities along with them being the victims of existing inequality in society. In many societies, like in Bangladesh, fascism and corruption defeated attempts to reach needy and underprivileged populations. If the OE is implemented in Bangladesh with a national mandate, it will recognise human potential, and open doors to creativity and innovation for all, thus creating opportunities for all to succeed. The question of the Opportunity Economy arises because   economic capitalism, trickle-down economics (supply side economics), fails to meet the aspirations of the masses in any society, whether it is affluent or impoverished. Trickle-down economics is defined as ""economic policies that disproportionately favor the upper tiers of the economic spectrum"", comprising of wealthy people and large businesses.  US Vice-President Kamala Harris, also a 2024 presidential candidate, included the Opportunity Economy in her economic plan to meet the aspirations of common people, as trickle-down capitalism failed to meet the aspirations of people and communities who were left behind. An Opportunity Economy is built on three pillars: first, there is inclusive growth,  where all segments of the population or society have access to economic growth; second, there is access to education and skills development, meaning equal access to education, and skills  to compete in the modern workforce; and third,  entrepreneurship and innovation. When Dr Yunus said 'everyone in the world is an entrepreneur, he recognised the potential of individuals in villages and economically poor communities. Among the countries implementing the opportunity economy are Singapore Denmark, Canada, New Zealand, and Sweden. These countries invest in creating opportunities for every segment of their societies and their primary areas of investment are education, skills training and supporting entrepreneurs and innovation. Here is a list of alternative economic models that are being  used to create opportunities and can be considered as OE initiatives: 1.Three Zero Economic System (Zero Unemployment, and Zero Net Carbon Emissions) 2.SDG (the Sustainable Development Goals) 3.OECD (Organization for Economic Co-operation and Development)-Bangladesh participates in UN sponsored SDG and is not a member of OECD Three Zero initiatives-There are a few such significant initiatives under Dr Muhammad Yunus Among these four approaches, the Three Zero Economic System and  OECD initiatives are more aligned with Opportunity Economy than SDG. Dr Muhammad Yunus's  book, A World of Three Zeros: The New Economics of Zero Poverty, Zero Unemployment, and Zero Net Carbon Emissions, offers a new paradigm for an emerging economic system. The Three Zero Economy it speaks of is based on four key principles which are social business, microfinance, sustainable energy, and inclusive growth. It is a form of social capitalism, which incorporates ""innovative social businesses designed to serve human needs rather than accumulate wealth"". The United Nations adopted the SDGs in 2015 and it consisted of a set of 17 goals to end poverty, protect the planet, and ensure peace and prosperity. The past corrupt Bangladesh government adopted the SDGs and showed that attempts were being made to achieve them. However, in the 2023 achievement report, there was no data on progress made, instead only reporting on goals to be achieved by 2030. All government departments, the parliament and the prime minister's office were involved. Yet, it did not involve the public and had no citizens' input, output, or reporting. Thirty-eight member countries of the OECD created WISE (Centre on Well-being, Inclusion, Sustainability and Equal Opportunity) to focus on generating higher well-being, fewer inequalities, and better health for people. Though they consider GDP (Gross Domestic Product) as an important measure, they believe it fails to capture many aspects of human life along with activities in terms of well-being. They believe multiple measures are necessary to develop a holistic perspective, and as such, WISE reports include civic engagement, social connections, work-life balance, social safety, environmental quality, knowledge and skills, health, work and job quality, housing, and income and wealth. Businesses have a responsibility to make positive contributions to the society and meet stakeholder expectations and demands. In contrast, the SDGs are focused on development only. The OECD's comprehensive approach supports OE. I believe that, under the leadership of Dr Muhammad Yunus, Bangladesh can be an ideal Opportunity Economy system with a public mandate. The country needs motivated, honest, and sincere people who are engaged in planning and implementing the new economy to create an inclusive and fair economic system that provides opportunities to all as the fruits of liberation. চলতি বছর এখন পর্যন্ত ডেঙ্গুতে মারা গেছেন ২৮০ জন। "
bangladesh,"The High Court today deferred the hearing on a writ petition challenging the legality of Article 70 of the Constitution of Bangladesh, which mandates the cancellation of a lawmaker's membership for voting against the political party that nominated them. The deferment order was issued by the bench of Justice Farah Mahbub and Justice Debasish Roy Chowdhury after writ petitioner Advocate Md Eunus Ali Akond was unable to produce a certified copy of the 2018 High Court verdict that had dismissed a similar petition he filed challenging Article 70. Advocate Akond told The Daily Star that he would obtain the certified copy of the 2017 verdict and present it to the High Court bench led by Justice Farah Mahbub to proceed with his current petition. On October 23, Advocate Akond, a Supreme Court lawyer, filed the latest writ petition with the High Court, arguing that Article 70 should be scrapped as it contradicts democratic principles. He cited a 2017 observation by an Appellate Division bench, led by then Chief Justice Surendra Kumar Sinha, which stated that Article 70 conflicted with constitutional provisions. Previously, on August 18, 2018, a High Court bench comprising Justice Abu Taher Md Saifur Rahman had dismissed a similar petition from Akond, noting that the court could not interfere in Article 70 as it was embedded in the original 1972 Constitution. The bench had observed that members of parliament, elected under political party manifestos, are not permitted to vote against their party. Under Article 70, lawmakers must vacate their seats if they vote against the party that nominated them. চলতি বছর এখন পর্যন্ত ডেঙ্গুতে মারা গেছেন ২৮০ জন। "
tech-startup,"Google is reportedly working on a new artificial intelligence (AI) tool, codenamed 'Project Jarvis,' designed to automate online tasks, according to sources cited by The Information. The system would operate directly within a web browser, performing actions on users' behalf such as conducting research, purchasing products, and booking flights. Jarvis is expected to leverage an advanced version of Google's Gemini AI model, optimised for use within Chrome. This ""computer-using agent"" would interpret on-screen information, click buttons, and input text commands, helping users accomplish various web-based tasks. Though details are still emerging, the tool reportedly takes ""a few seconds"" between each action in its current stage. Should the project progress smoothly, Google may unveil a preview of Jarvis as early as December. However, The Information notes that this timeline is subject to change, as Google is still exploring the possibility of limited testing to identify potential bugs and areas for refinement. Google's move follows a broader trend among tech companies developing similar AI-driven models for automating digital tasks. Competitors include Microsoft's Copilot Vision, Apple's anticipated screen-aware intelligence updates, and recent releases from companies such as Anthropic and OpenAI. চলতি বছর এখন পর্যন্ত ডেঙ্গুতে মারা গেছেন ২৮০ জন। "
sports,"United Nations rights experts on Monday slammed decisions in France barring women and girls who wear the Muslim headscarf from sports competitions as ""discriminatory"", demanding they be reversed. France invoked its strict rules on secularism to ban its athletes from wearing religious symbols, including the hijab, during the Paris 2024 Olympics. And France's football and basketball federations have also opted to exclude players wearing the headscarf from competitions, including at the amateur level. These decisions ""are disproportionate and discriminatory, and infringe on their rights (of French athletes) to freely manifest their identity, their religion or belief in private and in public, and to take part in cultural life,"" said a statement signed by eight independent UN experts. ""Muslim women and girls who wear the hijab must have equal rights to participate in cultural and sporting life, and to take part in all aspects of French society of which they are a part,"" they said. The statement was signed by the UN special rapporteurs on cultural rights, on minority issues, and on freedom of religion and belief, and members of the UN working group on discrimination against women and girls. They are independent experts appointed by the UN Human Rights Council, but who do not speak on behalf of the United Nations. France's laws on secularism are intended to keep the state neutral in religious matters, while guaranteeing citizens the right to freely practice their religion. Among other things, they prohibit pupils and teachers in schools as well as civil servants from wearing ""ostentatious"" religious symbols. But the experts insisted that ""the neutrality and secular nature of the state are not legitimate grounds for imposing restrictions on the rights to freedom of expression and freedom of religion or belief"". ""Any limitations of these freedoms must be proportionate, necessary to reach one of the objectives stated in international law (safety, health and public order, the rights and freedoms of others), and justified by facts... and not by presumptions, assumptions or prejudices,"" they said. ""In a context of intolerance and strong stigmatisation of women and girls who choose to wear the hijab, France must take all measures at its disposal to protect them, to safeguard their rights, and to promote equality and mutual respect for cultural diversity."" চলতি বছর এখন পর্যন্ত ডেঙ্গুতে মারা গেছেন ২৮০ জন। "
sports,"Manchester United have sacked manager Erik ten Hag following the club's lacklustre start to the season, the fallen Premier League giants announced Monday. United dropped to a lowly 14th in the table after suffering their fourth defeat in nine league games at West Ham on Sunday and have won only one of their last eight games in all competitions. ""Erik ten Hag has left his role as Manchester United men's first-team manager,"" said a club statement. ""Erik was appointed in April 2022 and led the club to two domestic trophies, winning the Carabao Cup in 2023 and the FA Cup in 2024. ""We are grateful to Erik for everything he has done during his time with us and wish him well for the future."" United added former striker Ruud van Nistelrooy, who returned to the club as Ten Hag's assistant in July, would now serve as interim manager ""whilst a permanent head coach is recruited."" Even before the West Ham loss, Dutch manager Ten Hag had presided over United's worst start to an English top-flight campaign since the 1989/90 season. The 54-year-old's position had been repeatedly called into question after United co-owner Jim Ratcliffe kept the former Ajax boss, on board following an internal review of his position at the end of last season after an eighth-place Premier League finish. Ten Hag was even rewarded with a one-year extension of his contract to June 2026 after a shock FA Cup final victory over rivals Manchester City in May. However, he failed to find the solutions to many of his side's struggles from last season. Former Ajax boss Ten Hag, who joined United in May 2022, had fiercely defended his record in recent weeks after winning two trophies in his two full seasons in charge. United ended a six-year wait for silverware by beating Newcastle in the 2023 League Cup final. FA Cup reprieve  The Red Devils also reached the FA Cup final and finished third in the Premier League in an encouraging debut season for Ten Hag. However, the wheels came off in his second season as injuries to key players, the lack of a meaningful impact from big money signings and Ten Hag's failure to implement a clear style of play led to a number of embarrassing results. United crashed out of the Champions League at the group stage after defeats by Galatasaray and FC Copenhagen, while Bournemouth, Brighton and Fulham were among the other sides to win at Old Trafford in the 2023/2024 campaign. The implementation of a new sporting structure at United, spearheaded by co-owner Ratcliffe, saw widespread change over recent months off the field with the appointment of a new chief executive, sporting director and technical director. But Ten Hag's surprise victory over Pep Guardiola's all-conquering City side at Wembley in the FA Cup final, saw him handed a stay of execution. Any hope United's FA Cup glory could act as a launching pad to more regular success quickly unravelled in the opening weeks of the new season. Liverpool and Tottenham coasted to 3-0 wins at Old Trafford in September, while United failed to win either of their opening two Europa League matches against FC Twente and Porto. For all Ten Hag's faults, he oversaw just a small period of United's more general decline since legendary former manager Alex Ferguson retired in 2013. Since the Scot's departute from the Old Trafford hot seat, five permanent managers have now been dismissed without United even posing a challenge for the Premier League title -- a trophy they won 13 time under Ferguson. চলতি বছর এখন পর্যন্ত ডেঙ্গুতে মারা গেছেন ২৮০ জন। "
bangladesh,"BNP senior leader Mirza Abbas today said the deposed Awami League would struggle to regain political influence if BNP and Bangladesh Jamaat-e-Islami maintain their alliance. Speaking at a memorial event organised by Dhaka South City Jamaat at the Institution of Engineers, Bangladesh, Abbas expressed BNP's commitment to ""rebuilding the country"" with Jamaat. ""We must strive for unity so that we can rebuild this country beautifully. Let's work together for the sake of the nation. Together, we will adorn the country,"" he added. During the event, held in remembrance of Jamaat supporters killed in 2006, Abbas criticised Prime Minister Sheikh Hasina, claiming she had ""fled to India"" while her associates remain active in Bangladesh. ""The nation cannot progress while Hasina's cohorts are in different positions, as they are devising various plots. However, if Jamaat and BNP work together, the Awami League will not be able to stage a comeback,"" he said. ""We now desire a Bangladesh without the Awami League... the Awami League and decent people, the Awami League and democracy cannot coexist. The Awami League is actually the devil's friend,"" he added. He also urged all other democratic parties to unite in order to thwart the nefarious efforts of Hasina's cohorts and the neighbouring country. চলতি বছর এখন পর্যন্ত ডেঙ্গুতে মারা গেছেন ২৮০ জন। "
entertainment,"It's difficult to believe someone is gone when you can tune into an old episode and listen to him deliver his sarcastic remarks on cue, very alive and very present. Yet, today marks one year of Matthew Perry leaving an empty space on the orange couch forever. Matthew Langford Perry— popular for his portrayal of the cult-classic character of Chandler Bing in the television sitcom ""Friends""— was the funny friend, the man of dreams for many women, and the relatable character who makes jokes when he is uncomfortable. Here we are, writing about Matthew Perry or more about Chandler Bing— because what's the difference? Everyone wished for a friend like him, dreamed of a partner like him, and wanted to be him. Each friend group had a Chandler; people named their pets by his name and likened their partners to him. It's almost impossible not to talk about Chandler Bing when talking about Matthew Perry when the man behind the character himself said, ""It wasn't that I thought I could play Chandler; I was Chandler."" Matthew Perry brought warmth and genius into the role in a way only he could. Chandler Muriel Bing introduced the world of sitcoms to a gold standard that defined sarcasm in pop culture for sitcoms and generations to come. Through awkward dances, witty one-liners, his insecurities, and complicated relationships with love and family, Matthew Perry and Chandler Bing live on in fond memories and strong nostalgia. On a dull day, you can always chime into this man who lights up the screen and sends laughter tracks blaring.  Chandler's friendship with Joey was one to envy while his with Rachel was an underrated one. Ross and Chandler navigating their lives through college was a journey of its own. And when Chandler walked Phoebe down the aisle, it felt like two beautifully awkward, resilient souls finding their own sense of family, each helping the other reach their happy ending. This was the same Chandler who, once the ultimate commitment-phobe, grew into a caring and respectful partner for Monica, honouring and cherishing her in every way. Off-screen, the reality wasn't so different; the ""Friends"" cast remained close over the years, showing up for one another just as their characters did. Matthew's death affected the cast deeply. Reports say that Matt Leblanc has been a recluse lately after Perry's death.  Behind the lovely smile and the will to make people laugh all the time is a story of struggles. Matthew's battle with substance abuse dates back to 1997, when he suffered from a freak accident while jetskiing. His time in the hospital left him addicted to Vicodin, which spiralled into years of struggle. Perry admitted that he had no recollection of filming a large time of ""Friends"" between seasons 3 and 6. If you noticed the changes in his appearance through the seasons of ""Friends"", those were indications of different phases of his addiction. In his memoir, Matthew wrote, ""When I'm carrying weight, it's alcohol; when I'm skinny, it's pills. When I have a goatee, it's lots of pills."" Matthew's personal journey inspired him to open the Perry House— a sober living facility in Malibu to help recovering addicts. In 2015, he was awarded the Phoenix Rising Award for helping others. His final television appearance was in the much-awaited and celebrated ""Friends Reunion"" of 2021. In November 2022, Matthew published his memoir, ""Friends, Lovers, and the Big Terrible Thing"" where he revealed candid moments of his life.  Besides ""Friends"", Perry has explored diverse roles throughout his career. From the bodyswap comedy of ""17 Again"" (2009) to ""Dance 'til Dawn"" (1988), Perry plays a nostalgic tribute to teen experiences. You can rediscover Perry beyond his comedic roles in ""Birds of America"" (2008) as he navigates through the responsibilities of adulthood, in his personal favourite cinematic experience ""Fools Rush In"" (1997), or a touch of comedy in crime and suspense in ""The Whole Nine Yards"" (2000) alongside Bruce Willis. One of the most memorable roles of Matthew Perry also includes his portrayal of the inspiring educator Ron Clark in the biopic ""The Ron Clark Story"" (2006), which earned him several nominations.  In season 2, episode 3 of ""Friends"", titled ""The One Where Mr Heckles Dies"", Chandler discovers eerie similarities between himself and his neighbour Mr Heckles; he worries he would die alone just like him. Chandler pushes himself to take more chances and live his life after a moment of reflection. In a tragic parallel, last year, Matthew Perry's unresponsive body was recovered from the jacuzzi of his apartment, where he lived alone, with acute effects of ketamine being the cause. An investigation looking into his death persists, with five charged over his death. His death has also opened discussions into the underground criminal network of drugs in Hollywood. US Attorney Martin Estrada stated, ""These defendants cared more about profiting off of Mr Perry than caring for his well-being."" Matthew Perry, however, did more than just live his life—he did so openly, with unflinching honesty and vulnerability. He was and will continue to be a source of comfort and inspiration for people around the world. He passed away alone but touched the lives of so many beyond his own. Even though today's audiences may find the humour of ""Friends"" dated and gravitate toward shows more suited to the evolved times, it is safe to say Chandler Bing will not be forgotten anytime soon. He was never a perfect character; in fact, his flawed, deeply human, and awkwardness made him the utterly lovable character he is. There's an empty seat now on the orange couch, but in spirits, Matthew Perry as Chandler Bing remains right there. So years from now, when someone young asks where you picked up that 'lame' joke from, don't forget to tell them about Chandler Bing and the remarkable man who brought him to life, Matthew Perry.     চলতি বছর এখন পর্যন্ত ডেঙ্গুতে মারা গেছেন ২৮০ জন। "
bangladesh,"Begum Rokeya University (BRU) authorities in Rangpur today suspended two teachers and seven staff members, following an announcement to ban political activities on campus this morning. The move is aimed at maintaining a disturbance-free campus, Vice Chancellor Prof Shawkat Ali announced in a press briefing after a syndicate meeting around 2:30pm. The suspended teachers are Associate Professor Moshiur Rahman from the math department, and Associate Professor Asaduzzaman Mondal from Department of Public Administration. Asaduzzaman Mondal is also the General Secretary of the BRU Teachers Association. Both of them have been named in the murder case involving Abu Sayed, the BRU student who was killed during the anti-discrimination student movement on July 16. The other seven suspended are Hafizur Rahman, assistant registrar, Mahbuba Akhter, deputy registrar of sociology department, Rafiul Hasan Russell from the proctor's office, Touhidul Islam Jony, deputy registrar security division; employees Amir Hossain, Ashikun Nahar TukTuki, and Nur Nabi. Shawkat Ali, addressing reporters outside the Administrative Building, said that eight of the ten syndicate members present at today's meeting had supported the decisions intended to restore order at the university. Since Abu Sayed's death on July 16, attendance on campus has plummeted, with faculty, staff, and students submitting leave requests to avoid returning. However, the university has now decided to revoke these leave requests, he said. According to a university probe, 91 individuals – two teachers, seven officials, and 72 students – have been identified as avoiding work since July 16, with alleged involvement in Sayed's death. The syndicate has opted to file a case against those implicated. BRU banned student political activities on campus on August 12, but extending this ban to include teachers, officials, and staff has been a priority, said the VC. The university will no longer tolerate activities such as extortion, tender manipulation, or seat trading in dormitories. Furthermore, any member of the university found engaging in political party affiliations will face immediate suspension and disciplinary action, he added. The VC said that the university has formed a body to collect statements from the individuals involved, though many have yet to comply with the probe. Ramjan Ali, brother of Abu Sayed, filed the original murder case on August 18, and BRU is set to file a separate case targeting those implicated in the death. The syndicate members present at the meetingincluded Md Shahidul Islam, Rangpur Divisional Commissioner; Prof Humayun Kabir Chowdhury of Jagannath University; Prof Siraj Ud Doula of Chittagong University, and Prof Motiur Rahman of BRU. The VC also said that five posts on the 15-member syndicate remain vacant. চলতি বছর এখন পর্যন্ত ডেঙ্গুতে মারা গেছেন ২৮০ জন। "
sports,"Manager Thiago Motta acknowledged that Juventus are not in the Serie A title race just yet and emphasised the importance of maintaining focus on their growth after they secured a dramatic 4-4 draw with champions Inter Milan thanks to two late goals on Sunday. With Juventus trailing 4-2, teenager Kenan Yildiz came off the bench and scored twice to rescue a point for his team. Their inability to dominate proceedings led Motta to acknowledge that his players were a long way off from challenging for the Scudetto. ""Not at this moment. We delivered a solid performance against one of the favourites for the Scudetto, alongside Napoli, who have maintained the core of their squad from a year and a half ago,"" Motta told DAZN. ""Right now, they're ahead and capable of competing until the end for the title. While today was a good performance, we need to keep our feet on the ground. ""We'll continue on our path, sticking to our ideas and our growth process. We'll see what we're capable of when the time comes. I'm being honest; I speak as things are."" Motta said he had mixed emotions about the result. ""We sought something more in terms of both play and the right spirit; we wanted a different outcome after a first half filled with unfortunate incidents,"" he said. ""They could have increased their lead but didn't, and in the end, we could have won it. However, we need to understand why we perform well at times and struggle against the opponent's game at others."" Substitute Yildiz, 19, secured the draw after coming on late in the match, with Motta defended his decision to start with Timothy Weah rather than the 19-year-old Yildiz. ""I chose Timothy Weah (to start) because he could offer something interesting for us in transitions. Kenan can help the team in the second half by providing different options, whether as a winger, midfielder, or striker,"" Motta said. ""We know we have young players, but we believe we can perform much better than we did today. It's clear that the many absences may have had an impact; it's not an excuse, but a fact."" চলতি বছর এখন পর্যন্ত ডেঙ্গুতে মারা গেছেন ২৮০ জন। "
