topic,title,content
sports,A fine bromance: Nadal's epic rivalry with Federer,"Interim govt struggling on many fronts
Accolade for business icons
Death of Renu in mob beating: 1 sentenced to death, 4 life imprisonment
Banks asked to freeze accounts of Abul Hasanat Abdullah, family members
Rafael Nadal and Roger Federer's rivalry started in the sweltering heat of Miami and ended almost two decades later in tears and hand-holding in an emotional London farewell.
In between, the great friends met 40 times, battling out epics on European clay, London grass and hard courts from the United States to Australia.
Nadal edged their head-to-head count 24-16, coming out 9-3 on top in Grand Slam finals including his stunning Wimbledon triumph in 2008, widely regarded as one of the greatest finals at the majors.
However, the statistics only scratch the surface.
""When Roger leaves the tour, an important part of my life is leaving too,"" admitted a tearful Nadal as he played Laver Cup doubles alongside 41-year-old Federer in the Swiss star's final appearance in September 2022.
The two clasped hands as Federer hobbled into retirement.
""Very proud to be part of his career but even for me happier to finish our career as friends after everything we shared on court as rivals,"" said Nadal.
When Nadal equalled Federer's haul of 20 Grand Slam titles by lifting his 13th French Open in 2020, the Swiss described it as the ""greatest achievement in sport"".
Federer never begrudged Nadal moving past him to 22 majors.
""I can call up Rafa and talk about anything,"" said Federer at his emotional farewell in London.
""We enjoy each other's company. We have a million topics to cover. I always feel like any evening we ever spent together we never have enough time.""
Twenty years ago, it was another time, another place.
The only thing they had in common then was respect.
When they met for the first time in March 2004 at Miami, Nadal was just 17 and ranked at 34.
Federer was the world number one and had already captured the Australian Open and Indian Wells titles that year.
However, a fearless Nadal swept to a 6-3, 6-3 victory in 70 minutes.
""I was very worried about him beating me 6-1, 6-1 or 6-1, 6-2, but I really wanted to play this match against the world number one,"" said Nadal.
Nadal fretted if his friends back home could follow the match ""on Teletext"" while Federer correctly predicted more meetings to come.
""I was impressed with what I saw,"" said Federer.
- Wimbledon epic -The pair met at least once every year from 2004 until 2015 while Federer would go on to claim seven of their last eight clashes.Fittingly, they split their last meetings in 2019 -- Nadal breezing to a semi-final triumph at the French Open with Federer coming out on top in the last four at Wimbledon just weeks later.Epics were guaranteed.Federer avenged his 2004 Miami loss to Nadal 12 months later, winning the final in five sets from two sets down.Nadal had to dig deep to protect his 'king of clay' reputation in 2006, also needing five sets to defeat the Swiss in the Rome final.Federer struggled to chip away at Nadal's mastery of clay, winning just two of 17 meetings.At the Swiss star's second home of Wimbledon, he defeated Nadal in the 2006 and 2007 finals before the Spaniard claimed one of his greatest victories 12 months later.In almost total darkness after a final interrupted by rain, Nadal won his fifth Grand Slam title and first outside of the French Open.He missed two championship points in the fourth set but steadied to triumph 6-4, 6-4, 6-7 (5/7), 6-7 (8/10), 9-7 after four hours and 48 minutes.""For me, it was the most emotional match I ever played in, probably the best,"" said Nadal.They would meet again in three more Slam finals -- Nadal taking his first Australian Open title in a five-setter in 2009 and the 2011 French Open before Federer claimed the 2017 Australian Open in another marathon.Federer's win in Melbourne came after he had spent six months sidelined by injury the previous year.""Tennis is a tough sport,"" said Federer who was 35 at the time and had gone 10 years without a victory over Nadal at the Slams.""There are no draws. If there were, I would have been happy to accept one and share it with Rafa.""
The pair met at least once every year from 2004 until 2015 while Federer would go on to claim seven of their last eight clashes.
Fittingly, they split their last meetings in 2019 -- Nadal breezing to a semi-final triumph at the French Open with Federer coming out on top in the last four at Wimbledon just weeks later.
Epics were guaranteed.
Federer avenged his 2004 Miami loss to Nadal 12 months later, winning the final in five sets from two sets down.
Nadal had to dig deep to protect his 'king of clay' reputation in 2006, also needing five sets to defeat the Swiss in the Rome final.
Federer struggled to chip away at Nadal's mastery of clay, winning just two of 17 meetings.
At the Swiss star's second home of Wimbledon, he defeated Nadal in the 2006 and 2007 finals before the Spaniard claimed one of his greatest victories 12 months later.
In almost total darkness after a final interrupted by rain, Nadal won his fifth Grand Slam title and first outside of the French Open.
He missed two championship points in the fourth set but steadied to triumph 6-4, 6-4, 6-7 (5/7), 6-7 (8/10), 9-7 after four hours and 48 minutes.
""For me, it was the most emotional match I ever played in, probably the best,"" said Nadal.
They would meet again in three more Slam finals -- Nadal taking his first Australian Open title in a five-setter in 2009 and the 2011 French Open before Federer claimed the 2017 Australian Open in another marathon.
Federer's win in Melbourne came after he had spent six months sidelined by injury the previous year.
""Tennis is a tough sport,"" said Federer who was 35 at the time and had gone 10 years without a victory over Nadal at the Slams.
""There are no draws. If there were, I would have been happy to accept one and share it with Rafa.""

দক্ষিণ কোরিয়ার লেখক হান ক্যাং এ বছর সাহিত্যে নোবেল পুরস্কার পেয়েছেন।"
sports,Rafael Nadal calls time on epic tennis career,"Interim govt struggling on many fronts
Accolade for business icons
Death of Renu in mob beating: 1 sentenced to death, 4 life imprisonment
Banks asked to freeze accounts of Abul Hasanat Abdullah, family members
Rafael Nadal on Thursday announced he will retire after the Davis Cup finals in November, ending a career which brought 22 Grand Slam titles, global respect and inspired epic, iconic rivalries with Roger Federer and Novak Djokovic.
""I am retiring from professional tennis. The reality is that it has been some difficult years, these last two especially,"" Nadal said in a video on social media.
""It is obviously a difficult decision, one that has taken me some time to make. But in this life everything has a beginning and an end.""
The 38-year-old Spaniard is set to end his two decades as a professional with 92 titles and prize money alone of $135 million.
He dominated the French Open where he won 14 of his majors, his first arriving just days after his 19th birthday in 2005, his last in 2022 making him the event's oldest champion.
On the famous crushed brick of Roland Garros, he lost just three times in 115 matches.
He was also a four-time champion at the US Open and a two-time winner at the Australian Open, his first triumph coming in 2009; his second 13 years later.
Nadal also won Wimbledon twice, in 2008 and 2010 despite grass considered to be the surface most likely to expose any shortcomings in his game.
His five-set victory over Roger Federer in the 2008 championship match, which ended in almost complete darkness at the All England Club, is widely regarded as the greatest Slam final ever played.
Nadal claimed a career Golden Slam when he took Olympic Games gold in 2008. For good measure, he also won five Davis Cups.
Nadal was a five-time year-end world number one and never left the top 10 from 2005 until March this year.
In total, he spent 209 weeks in top spot and between 2004 and 2022, won at least one title every year.
In his long rivalry with close friend Federer, who retired last year, he enjoyed a 24-16 edge. Nadal surpassed Federer's mark of 20 majors in Australia last year.
He and Djokovic, the all-time leader with 24 men's Grand Slam titles, met 60 times with the Serb just ahead by two.
An underpowered Nadal was swept aside by Djokovic in straight sets in their final meeting at this year's Paris Olympics.
Despite his record-breaking career, Nadal was plagued by injuries, a painful by-product of his all-action, brutal-hitting style.
- Injury-plagued-Ankle, wrist, knee, elbow and abdominal problems caused him to sit out 16 Grand Slam tournaments and withdraw mid-event on five occasions at the majors.At the 2022 French Open, he admitted that his title charge would have been impossible without daily pain-killing injections in his foot.Nadal then underwent a medical procedure which required nerves in the foot to be burned to allow him to extend his career.However, the creaks in the body were getting louder.An abdominal strain forced him out of Wimbledon where he had made the semi-finals.He was then struck down with a hip injury at the Australian Open in January as he crashed out in the second round -- his earliest exit at the majors in seven years.His wife Mery was in tears as she watched him struggle through to the end.Nadal possibly sensed the writing was on the wall in the Laver Cup in London two years ago when he played alongside Federer in the great Swiss star's final tournament.At 41, and unable to shake off a knee injury, Federer called it quits.The two men wept and even grasped each other's hands as the Federer era ended.""When Roger leaves the tour, an important part of my life is leaving too,"" said Nadal.
Ankle, wrist, knee, elbow and abdominal problems caused him to sit out 16 Grand Slam tournaments and withdraw mid-event on five occasions at the majors.
At the 2022 French Open, he admitted that his title charge would have been impossible without daily pain-killing injections in his foot.
Nadal then underwent a medical procedure which required nerves in the foot to be burned to allow him to extend his career.
However, the creaks in the body were getting louder.
An abdominal strain forced him out of Wimbledon where he had made the semi-finals.
He was then struck down with a hip injury at the Australian Open in January as he crashed out in the second round -- his earliest exit at the majors in seven years.
His wife Mery was in tears as she watched him struggle through to the end.
Nadal possibly sensed the writing was on the wall in the Laver Cup in London two years ago when he played alongside Federer in the great Swiss star's final tournament.
At 41, and unable to shake off a knee injury, Federer called it quits.
The two men wept and even grasped each other's hands as the Federer era ended.
""When Roger leaves the tour, an important part of my life is leaving too,"" said Nadal.

দক্ষিণ কোরিয়ার লেখক হান ক্যাং এ বছর সাহিত্যে নোবেল পুরস্কার পেয়েছেন।"
sports,Why did Shakib suddenly announce his retirement?,"Interim govt struggling on many fronts
Accolade for business icons
Death of Renu in mob beating: 1 sentenced to death, 4 life imprisonment
Banks asked to freeze accounts of Abul Hasanat Abdullah, family members
In a bombshell press conference on Thursday, Bangladesh ace all-rounder Shakib Al Hasan said that he had informed the Bangladesh Cricket Board (BCB) that the upcoming South Africa Test series at home in October-November will be the last Test series of his career.
Following the fall of the Awami League government, of which he was an MP, Shakib has not returned to the country. He feels that if he can head back to the country and leave on his own terms, he will play the series against South Africa, which is to be his last Test series.

It is not just Test cricket that Shakib is set to leave as he further informed that he will not be playing T20 format for the next few series as he feels it is time to move on from the format.

Asked if he would play the T20I series against India, starting on October 6, he informed that he feels he has already played his last T20I.
""I think I have played my last match at the World Cup [against Afghanistan],"" he added.
When asked if the Champions Trophy in 2025 would be his last foray in the ODI format, he simply said ""I hope so. Nine more ODIs.""
দক্ষিণ কোরিয়ার লেখক হান ক্যাং এ বছর সাহিত্যে নোবেল পুরস্কার পেয়েছেন।"
sports,'Same errors' as toothless Tigers suffer series loss,"Interim govt struggling on many fronts
Accolade for business icons
Death of Renu in mob beating: 1 sentenced to death, 4 life imprisonment
Banks asked to freeze accounts of Abul Hasanat Abdullah, family members
Bangladesh's batting against India once again fell uncomfortably short in the second T20I, this time in New Delhi, as the Tigers lost by a whopping 86-run margin -- their biggest against India -- in another cumbersome effort without wonder yesterday.
As a result, India take an unassailable 2-0 lead in the three-match series -- their 16th successive T20 series win at home since 2019.
At the Arun Jaitley Stadium, the Tigers did show early promise in their chase of a 222-run target. However, just like their bowlers stuttered after three early wickets, a few boundaries later their batting innings had a similar look to it like the series opener.
Parvez Hossain Emon welcomed Arshdeep Singh, starting the innings with a boundary. The entertaining over ended with two back-to-back fours, but the flourish was short-lived as Emon departed in Arshdeep's next over.
Skipper Najmul Hossain Shanto arrived and hit two back-to-back fours in the same over, and then Liton Das hit a towering six off Nitish Kumar Reddy. From 38 for one in four overs, things went downhill from there.
Once Shanto departed, finding the fielder at long-on in the Powerplay, Liton got one from Varun Chakravarthy that stayed low, disturbing his stumps. Towhid Hridoy departed to part-timer spinner Abhishek Sharma, leaving Bangladesh's chase in shambles -- on 46 for four.
From that point onward, not much materialised. Mahmudullah Riyad, playing his final T20I series, got a few over the ropes. His 39-ball 41 seemed more like a vigil as the chase had already fallen off the tracks, eventually ending up on 135 for nine.
""I think we made the same errors [as in the first game], which is not a good thing as a team,"" Shanto said during the post-match ceremony.
""We need to improve. I think it was a good decision [to bowl]. They batted well after the first six-seven overs, but we didn't execute our plans. We need to take responsibility as batsmen,"" he added.
Earlier, Bangladesh pacers held their own in the Powerplay. Tanzim Sakib was impressive with his pace and variations, while Taskin Ahmed and Mustafizur Rahman were also among the wickets as India stood at 45 for three.
Then Liton dropped what should have been a regulation catch off Sakib, giving Nitish Kumar a reprieve. Dropped on five, Nitish went on to pummel seven sixes during a 34-ball 74.
A 108-run stand developed between Rinku Singh and Nitish in just eight overs. Thus, even after a solid Powerplay effort, the game slipped away for the tourists.Taskin ended with two for 16 as the pick of the Tigers' bowlers. The margin of the defeat was also due to the batting-friendly track on offer. In last year's IPL, five games saw eight scores of 200 at this ground.
""Wanted to get a partnership with Nitish as the wicket was slow and was sticking in the pitch a bit. The no-ball from Mahmudullah shifted the momentum, and Nitish got going after that,"" Rinku said after the game, referring to a no-ball from Mahmudullah which resulted in a free-hit and India's first six.
But Nitish had made the difference after the dropped catch. Still, a disastrous batting performance is what the Tigers will take away from the game before they look to make amends in the series' final match in Hyderabad on Saturday.
দক্ষিণ কোরিয়ার লেখক হান ক্যাং এ বছর সাহিত্যে নোবেল পুরস্কার পেয়েছেন।"
sports,Asalanka to lead Sri Lanka squad for West Indies series,"Interim govt struggling on many fronts
Accolade for business icons
Death of Renu in mob beating: 1 sentenced to death, 4 life imprisonment
Banks asked to freeze accounts of Abul Hasanat Abdullah, family members
Sri Lanka Cricket on Wednesday named a 17-member squad led by Charith Asalanka for a three-match T20 tournament against the visiting West Indies team.
The tournament, which starts at Dambulla on October 13, will be the first for Sanath Jayasuriya since he was named Sri Lanka's permanent coach.
Jayasuriya, 55, had been in interim charge since June, but on Monday was appointed full-time coach after recent successes, which included a Test match win in England and a home 2-0 Test series sweep against New Zealand.
Sri Lanka also won a one-day international series against India for the first time in 27 years under Jayasuriya.
The remaining two T20s against the West Indies, also at Dambulla, will be played on October 15 and 17.
The T20 series is to be followed buy a three-match ODI series at Pakelle.
Sri Lanka squad:Charith Asalanka (capt), Pathum Nissanka, Kusal Mendis, Kusal Perera, Kamindu Mendis, Dinesh Chandimal, Avishka Fernando, Bhanuka Rajapaksa, Wanindu Hasaranga, Maheesh Theekshana, Dunith Wellalage, Jeffrey Vandersay, Chamindu Wickramasinghe, Nuwan Thushara, Matheesha Pathirana, Binura Fernando and Asitha Fernando.
দক্ষিণ কোরিয়ার লেখক হান ক্যাং এ বছর সাহিত্যে নোবেল পুরস্কার পেয়েছেন।"
sports,Shakib wants countrymen by his side in Test swansong,"Interim govt struggling on many fronts
Accolade for business icons
Death of Renu in mob beating: 1 sentenced to death, 4 life imprisonment
Banks asked to freeze accounts of Abul Hasanat Abdullah, family members
Bangladesh all-rounder Shakib Al Hasan on Wednesday urged his countrymen to stay by his side during his final Test, which is likely to be against South Africa later this month on home soil.
""As you know, I am going to play my last match very soon. From the beginning of my cricket career to becoming today's Shakib Al Hasan, you have driven my journey,"" the 37-year-old's post from his official Facebook page read.
""The entire story of my cricketing journey has been written by you! So, in my last match, the last chapter of this story, I want you by my side. I want to say goodbye [to cricket] along with all of you. During this farewell, I want to hold the hands of those people whose applause made me play well.
""In this farewell, I want to look into the eyes of those people whose eyes have been filled with joy at my good game and with tears during my bad matches.
""I hope -- not just hope, I believe -- that you will all be with me in this farewell. Everyone will draw the end of the story together as the hero of the story is not me, but you!"" his post read further.
Last month, before the second Test of the Tigers' ongoing India tour, Shakib announced in Kanpur his retirement plans from all three formats. He expressed his interest in playing at least the first Test against South Africa in Mirpur if not the entire two-match series.
The first Test will be held in Mirpur from October 21-25 while the second Test will take place in Chattogram from October 29-November 2.
However, Shakib's participation in the South Africa series depends on his selection in the squad and the security concerns that he brought up when he announced his retirement plans in India.
As a former lawmaker of the ousted Awami League government, Shakib's urge for a ""safe exit"" from the country after playing his final Test looked a bit far-fetched considering how reluctant the Bangladesh Cricket Board (BCB) officials and some top government officials were regarding the issue initially.
However, to some extent, the situation has changed in Shakib's favour recently as he found strong support from Youth and Sports Adviser Asif Mahmud, who said that he wishes for the premier all-rounder to play his final Test match in Bangladesh.
Shakib, who was heavily criticised for staying quiet during the student-led movement that eventually toppled the Awami League government on August 5, apologised for his role in that period.
""I respect the sentiments of those of you who have been hurt or distressed by my absence during this critical time and I am sincerely sorry for that,"" Shakib's post said.
দক্ষিণ কোরিয়ার লেখক হান ক্যাং এ বছর সাহিত্যে নোবেল পুরস্কার পেয়েছেন।"
sports,India pile up World Cup high to rout Sri Lanka,"Interim govt struggling on many fronts
Accolade for business icons
Death of Renu in mob beating: 1 sentenced to death, 4 life imprisonment
Banks asked to freeze accounts of Abul Hasanat Abdullah, family members
Captain Harmanpreet Kaur and opener Smriti Mandhana hit half-centuries as India defeated Sri Lanka by 82 runs to boost their chances of making the semi-finals of the Women's T20 World Cup on Wednesday.
India piled up a tournament high of 172-3 from their 20 overs before Sri Lanka were dismissed for 90 off the penultimate ball of the match.
India now have two wins in three games ahead of their final group match with six-time champions Australia on Sunday.
Just the top two teams from each of the five-nation pools make the semi-finals.
Mandhana made 50 from 38 balls with four fours and a six to register her 27th T20 international fifty.
She also shared a 98-run opening stand with Shafali Verma (43) before Kaur put on a blistering display of shot-making.
The captain reached her 13th half-century in the format off 27 balls and finished undefeated on 52 with eight boundaries and a six.
Just as important for India, Kaur showed little effect of the neck injury she had suffered in the win over Pakistan at the weekend.
In reply, Asian champions Sri Lanka collapsed to 6-3 inside three overs before Kavisha Dilhari (21) and Anushka Sanjeewani (20) put on 37 for the fourth wicket.
But they always struggled to keep up the run rate with Ama Kanchana (19) the only other player to reach double figures.
For India, fast bowler Arundhati Reddy and leg-spinner Asha Sobhana returned identical figures of 3-19 in their four overs.
The result means that Sri Lanka have no chance of making the semi-finals after three defeats.
দক্ষিণ কোরিয়ার লেখক হান ক্যাং এ বছর সাহিত্যে নোবেল পুরস্কার পেয়েছেন।"
sports,Tamim decries docile tracks at home,"Interim govt struggling on many fronts
Accolade for business icons
Death of Renu in mob beating: 1 sentenced to death, 4 life imprisonment
Banks asked to freeze accounts of Abul Hasanat Abdullah, family members
Former Bangladesh skipper Tamim Iqbal suddenly appeared in the press box yesterday at the Arun Jaitley Stadium in Delhi, just before the Tigers' second T20I against hosts India at the venue.
Tamim, who has been working as a commentator for Star Sports in the ongoing series, had a chat with the media before his commentary duties as he addressed some questions from the media on specific issues.
The first T20I of the series in Gwalior showed that there was a disparity in batting prowess between the two teams. Tigers' captain Najmul Hossain Shanto said wickets back home were a reason for the gap in skill even if it was not the only reason.
Tamim felt not much had been done about making changes when such complaints came from players.
""Who has taken any initiative? Whether it's the cricket board or management or players or whoever. So until and unless we don't take that initiative, maybe after two series you will hear the same thing. Maybe from me too. It's important to take the initiative,"" Tamim said.
There had been speculations about Tamim becoming a Bangladesh Cricket Board (BCB) director, but the cricketer clarified that he is not thinking about coming to the board at the moment.
""I'm doing commentary now, then I will focus on cricket. I'm not thinking about that right now (director),"" he told the reporters in Delhi.
Tamim was asked whether seniors sometimes fail to understand the gravity of retiring in the best way possible, downplaying their own legacy in the process. Mahmdullah Riyad announced on the eve of the second T20I against India that he would be retiring from the format at the end of the series, leading to questions about whether he could have ended his T20I career after the last T20I World Cup and not in an away bilateral series.
Earlier on this tour, Shakib also announced his retirement plans.
""Whenever anyone retires, it's not pleasant to hear or talk about that. Since I have spent so much time with them [Shakib Al Hasan and Riyad], of course, I feel bad. Also, I feel proud of both of them for whatever they have achieved in international cricket and whatever they have done for Bangladesh. You can criticise them the whole day but you cannot take away those things [their achievements],"" Tamim said.
Tamim himself has not retired from two formats -- Test and ODI. However, he has not donned the red and green jersey since opting out of the ODI World Cup in 2023. Asked how he will focus on cricket before the upcoming Bangladesh Premier League, he said: ""I will go from here and have two months which I will use to prepare for BPL.""
দক্ষিণ কোরিয়ার লেখক হান ক্যাং এ বছর সাহিত্যে নোবেল পুরস্কার পেয়েছেন।"
sports,Record-breaking Root helps England dominate Pakistan,"Interim govt struggling on many fronts
Accolade for business icons
Death of Renu in mob beating: 1 sentenced to death, 4 life imprisonment
Banks asked to freeze accounts of Abul Hasanat Abdullah, family members
Joe Root went past Alastair Cook as England's highest Test run scorer with an unconquered hundred against Pakistan, anchoring his team to 492-3 in the first Test in Multan on Wednesday.
The 33-year-old overhauled Cook's aggregate of 12,472 runs and became the fifth-highest scorer of all time after he drove seamer Aamer Jamal for a straight boundary to reach 71 just before lunch.
Root was still batting on 176 at the close on day three with his partner Harry Brook on 141 not out, taking England within 64 runs of Pakistan's first innings total of 556.
The pair added 243 runs for the unbroken fourth wicket, rebuffing Pakistan's bowling attack on a lifeless pitch that had punished England's bowlers on the first two days.
Root's memorable 481-minute knock includes 12 boundaries. Brook amassed the same number and added a six despite suffering cramps.
Root reverse swept spinner Abrar Ahmed for a single to reach his 35th Test hundred -- the sixth most by any batsman -- getting to the mark off 167 balls.
Brook reached his sixth hundred with a single off part-timer Saud Shakeel from 118 balls, adding to his previous three in England's 3-0 series rout of Pakistan two years ago.
Root added 136 for the third wicket with Ben Duckett, who made a robust 84 and showed no effect from a thumb dislocation on Tuesday that forced him to bat at number four.
Duckett was the only man dismissed in the second session, trapped leg-before by Jamal after hitting 11 boundaries.
All three Pakistan fast bowlers -- Shaheen Shah Afridi, Naseem Shah and Jamal -- have taken a wicket each. Frontline spinner Abrar has conceded 174 runs in 35 wicketless overs.
Pakistan also reviewed three not out decisions to no avail.
It was a day to remember for Root, who took 268 innings and 147 Tests to go past his former captain Cook's total of 12,472 runs from 161 Tests in a glorious career that ended in 2018.
Root also added 109 for the second wicket with Zak Crawley, who hit 13 fours in an 85-ball knock of 78.
Crawley failed to keep a flick down off Shaheen in the fourth over and was caught at the second attempt by Jamal at mid-wicket.
Duckett started with trademark aggression, taking five boundaries off Abrar and completing his 10th Test half-century off just 45 balls.
That helped Root accumulate steadily at the other end as he brought up his 65th Test fifty off 76 balls. He was applauded by a handful of England fans and teammates in the dressing room when he broke Cook's record.
The all-time list is headed by India's Sachin Tendulkar with 15,921 runs from 200 matches.
Cook said of Root during BBC radio commentary that he could ""see him overhauling Sachin Tendulkar's record"".
""I don't see that happening for Root to lose that hunger and ability to keep driving himself forward for the next couple of years,"" the former England opening batsman said.
দক্ষিণ কোরিয়ার লেখক হান ক্যাং এ বছর সাহিত্যে নোবেল পুরস্কার পেয়েছেন।"
sports,South Africa hammer Scots in Women's T20 World Cup,"Interim govt struggling on many fronts
Accolade for business icons
Death of Renu in mob beating: 1 sentenced to death, 4 life imprisonment
Banks asked to freeze accounts of Abul Hasanat Abdullah, family members
South Africa produced a superb all-round performance to thrash Scotland by 80 runs in their Group B match at the Women's T20 World Cup in Dubai on Wednesday.
After winning the toss and choosing to bat first, South Africa chalked up a tournament high 166-5 in their 20 overs with captain Laura Wolvaardt (40), Tazmin Brits (43) and Marizanne Kapp (43) all feasting on some weak bowling and poor fielding.
Scotland, playing in their first World Cup, were never in the chase and slumped to 80 all out in 17.5 overs to be eliminated from the tournament after three successive defeats.
The win lifts South Africa, beaten by Australia in the final of the 2023 edition, to the top of Group B while Scotland, who had already lost to Bangladesh and West Indies, remain bottom.
Scotland made life hard for themselves, dropping a simple chance when Wolvaardt was on just two.
The skipper made them pay as she clubbed five fours and a six in her 27-ball 40 which took her past Lizelle Lee's 1,896 runs to become South Africa's top-scorer in T20I cricket.
She fell to a fine catch by Olivia Bell but Scotland again blotted their copybook with another bad drop which reprieved Anneke Bosch on three.
Brits hit five fours and a six in her 43 while Kapp smashed her 43 off just 23 balls, enough to give her the player of the match award.
""I was a little bit nervous at the start,"" she said.
""(We) knew the wicket was going to be slow. it played a lot slower than our first game. Luckily, it came off.""
The Scotland reply never got going, only Katherine Fraser (14) and Ailsa Lister (12) making it into double figures.
Nonkululeko Mlaba was the most succesful of the South African bowlers, picking up 3-12 in her four overs, while fellow left-arm spinner Chloe Tryon (2-22) became the first bowler to take two caught and bowleds in a women's T20I.
দক্ষিণ কোরিয়ার লেখক হান ক্যাং এ বছর সাহিত্যে নোবেল পুরস্কার পেয়েছেন।"
